Inserção - Renavam: 123456789, Índice: 65, Fator de Carga: 0.01369863
Inserção - Renavam: 111111112, Índice: 2, Fator de Carga: 0.02739726
Inserção - Renavam: 111111113, Índice: 3, Fator de Carga: 0.04109589
Inserção - Renavam: 111111114, Índice: 4, Fator de Carga: 0.05479452
Inserção - Renavam: 999999999, Índice: 9, Fator de Carga: 0.06849315
Inserção - Renavam: 617295837, Índice: 26, Fator de Carga: 0.08219178
Inserção - Renavam: 840562973, Índice: 20, Fator de Carga: 0.09589041
Inserção - Renavam: 475916238, Índice: 38, Fator de Carga: 0.10958904
Inserção - Renavam: 216837594, Índice: 0, Fator de Carga: 0.12328767
Inserção - Renavam: 358614729, Índice: 39, Fator de Carga: 0.1369863
Inserção - Renavam: 182795346, Índice: 61, Fator de Carga: 0.15068494
Inserção - Renavam: 695148237, Índice: 43, Fator de Carga: 0.16438356
Inserção - Renavam: 274951386, Índice: 25, Fator de Carga: 0.1780822
Inserção - Renavam: 834527916, Índice: 19, Fator de Carga: 0.19178082
Inserção - Renavam: 489632157, Índice: 60, Fator de Carga: 0.20547946
Inserção - Renavam: 763859124, Índice: 45, Fator de Carga: 0.21917808
Inserção - Renavam: 921674538, Índice: 44, Fator de Carga: 0.23287672
Inserção - Renavam: 156782429, Índice: 37, Fator de Carga: 0.24657534
Inserção - Renavam: 349821657, Índice: 36, Fator de Carga: 0.26027396
Inserção - Renavam: 567921483, Índice: 25, Fator de Carga: 0.2739726
Inserção - Renavam: 846592371, Índice: 56, Fator de Carga: 0.28767124
Inserção - Renavam: 238476915, Índice: 4, Fator de Carga: 0.30136988
Inserção - Renavam: 915283764, Índice: 55, Fator de Carga: 0.31506848
Inserção - Renavam: 457132869, Índice: 7, Fator de Carga: 0.32876712
Inserção - Renavam: 648293157, Índice: 13, Fator de Carga: 0.34246576
Inserção - Renavam: 369574218, Índice: 38, Fator de Carga: 0.3561644
Inserção - Renavam: 724916385, Índice: 32, Fator de Carga: 0.369863
Inserção - Renavam: 149682735, Índice: 31, Fator de Carga: 0.38356164
Inserção - Renavam: 836241597, Índice: 25, Fator de Carga: 0.39726028
Inserção - Renavam: 324869571, Índice: 7, Fator de Carga: 0.41095892
Inserção - Renavam: 927156384, Índice: 28, Fator de Carga: 0.42465752
Inserção - Renavam: 618735294, Índice: 69, Fator de Carga: 0.43835616
Inserção - Renavam: 413269857, Índice: 67, Fator de Carga: 0.4520548
Inserção - Renavam: 847592631, Índice: 70, Fator de Carga: 0.46575344
Inserção - Renavam: 536814972, Índice: 55, Fator de Carga: 0.47945204
Inserção - Renavam: 249681753, Índice: 72, Fator de Carga: 0.49315068
Inserção - Renavam: 751936482, Índice: 55, Fator de Carga: 0.5068493
Inserção - Renavam: 812547693, Índice: 23, Fator de Carga: 0.5205479
Inserção - Renavam: 659418237, Índice: 39, Fator de Carga: 0.53424656
Inserção - Renavam: 437895216, Índice: 44, Fator de Carga: 0.5479452
Inserção - Renavam: 283764951, Índice: 8, Fator de Carga: 0.56164384
Inserção - Renavam: 941623875, Índice: 14, Fator de Carga: 0.5753425
Inserção - Renavam: 765139284, Índice: 4, Fator de Carga: 0.5890411
Inserção - Renavam: 526497138, Índice: 41, Fator de Carga: 0.60273975
Inserção - Renavam: 314782965, Índice: 30, Fator de Carga: 0.6164383
Inserção - Renavam: 879256314, Índice: 3, Fator de Carga: 0.63013697
Inserção - Renavam: 692314875, Índice: 30, Fator de Carga: 0.6438356
Inserção - Renavam: 138457926, Índice: 67, Fator de Carga: 0.65753424
Inserção - Renavam: 417692358, Índice: 9, Fator de Carga: 0.6712329
Inserção - Renavam: 895263412, Índice: 26, Fator de Carga: 0.6849315
Inserção - Renavam: 736283746, Índice: 52, Fator de Carga: 0.69863015
Atualização - Renavam: 457132869, Índice: 7, Fator de Carga: 0.69863015
Remoção - Veículo removido com sucesso - Renavam: 324869571, Placa: FGH1C02, Condutor: Bianca, Índice: 7, Fator de Carga: 0.6849315
Remoção - Veículo removido com sucesso - Renavam: 567921483, Placa: ASD1R01, Condutor: Leonardo, Índice: 25, Fator de Carga: 0.6712329
